ID;layanan_ID;last_layanan_ID;old_antrian_ID;display_loket_ID;prefix;antrian_no;status_print;loket_no;sid;user_ID;loket_call;tingkat_kepuasan;tanggal;ambil;mulai;akhir;leave;pending;detail;detail_android;priority;active;google_token;lokasi_ambil;central_loket_start;central_loket_end;central_loket_khusus;tanggal_booking;sync_online;pc_name;metode_pembayaran_ID
71;1;1;;1;;45;0;1;1;1;1;-;2022-10-04;07:42:43;07:51:26;07:52:41;1;0;;;0;;;kiosk;;;;;0;LOKET-PC;
72;1;1;;1;;46;0;2;1001;1;1;-;2022-10-04;07:42:54;07:51:38;07:53:46;1;0;;;0;;;kiosk;;;;;0;DESKTOP-VD50BPC;
73;9;9;56;9;;36;0;9;9;1;1;-;2022-10-04;07:43:30;08:16:25;08:17:07;0;0;;;0;;;kiosk;;;;;0;PENGOBATAN_UMUM;
74;8;8;57;8;;37;0;8;8;1;1;-;2022-10-04;07:43:38;08:26:00;08:32:15;0;0;;;0;;;kiosk;;;;;0;DELL2;
75;1;1;;1;;47;0;1;1;1;1;-;2022-10-04;07:44:37;07:52:41;07:54:35;1;0;;;0;;;kiosk;;;;;0;LOKET-PC;
76;1;1;;1;;48;0;2;1001;1;1;-;2022-10-04;07:44:51;07:53:46;07:55:33;1;0;;;0;;;kiosk;;;;;0;DESKTOP-VD50BPC;
77;9;9;60;9;;39;0;9;9;1;1;-;2022-10-04;07:44:56;08:18:28;08:22:06;0;0;;;0;;;kiosk;;;;;0;DELL;
78;9;9;59;9;;38;0;9;9;1;1;-;2022-10-04;07:45:12;08:17:07;08:18:28;0;0;;;0;;;kiosk;;;;;0;DELL;
79;1;1;;1;;49;0;1;1;1;1;-;2022-10-04;07:47:25;07:54:35;07:56:02;1;0;;;0;;;kiosk;;;;;0;LOKET-PC;
80;9;9;63;9;;40;0;9;9;1;1;-;2022-10-04;07:47:33;08:22:06;08:25:10;0;0;;;0;;;kiosk;;;;;0;DELL;
81;1;1;;1;;50;0;2;1001;1;1;-;2022-10-04;07:47:48;07:55:33;07:56:35;1;0;;;0;;;kiosk;;;;;0;DESKTOP-VD50BPC;
82;9;9;64;9;;41;0;9;9;1;1;-;2022-10-04;07:47:53;08:25:10;08:43:37;0;0;;;0;;;kiosk;;;;;0;PENGOBATAN_UMUM;
83;1;1;;1;;51;0;1;1;1;1;-;2022-10-04;07:48:06;07:56:02;07:58:16;1;0;;;0;;;kiosk;;;;;0;LOKET-PC;
84;8;8;67;8;;42;0;8;8;1;1;-;2022-10-04;07:49:16;08:32:15;08:35:54;0;0;;;0;;;kiosk;;;;;0;DELL2;
85;1;1;;1;;52;0;2;1001;1;1;-;2022-10-04;07:50:20;07:56:35;07:57:14;1;0;;;0;;;kiosk;;;;;0;DESKTOP-VD50BPC;
86;1;1;;1;;53;0;2;1001;1;1;-;2022-10-04;07:50:43;07:57:14;07:57:51;1;0;;;0;;;kiosk;;;;;0;DESKTOP-VD50BPC;
87;8;8;76;8;;44;0;8;8;1;1;-;2022-10-04;07:50:51;08:35:54;08:37:13;0;0;;;0;;;kiosk;;;;;0;DELL2;
88;9;9;73;9;;43;0;9;9;1;1;-;2022-10-04;07:51:25;08:43:37;08:44:39;0;0;;;0;;;kiosk;;;;;0;PENGOBATAN_UMUM;
89;1;1;;1;;54;0;2;1001;1;1;-;2022-10-04;07:51:41;07:57:51;07:59:20;1;0;;;0;;;kiosk;;;;;0;DESKTOP-VD50BPC;
90;1;1;;1;;55;0;1;1;1;1;-;2022-10-04;07:51:49;07:58:16;08:00:29;1;0;;;0;;;kiosk;;;;;0;LOKET-PC;
91;9;9;77;9;;45;0;9;9;1;1;-;2022-10-04;07:52:40;08:44:39;08:52:04;0;0;;;0;;;kiosk;;;;;0;DELL;
92;1;1;;1;;56;0;2;1001;1;1;-;2022-10-04;07:52:48;07:59:20;08:01:29;1;0;;;0;;;kiosk;;;;;0;DESKTOP-VD50BPC;
93;7;7;79;;;46;0;0;0;0;0;-;2022-10-04;07:53:43;;;0;0;;;0;;;kiosk;;;;;0;DESKTOP-VD50BPC;
94;9;9;82;9;;47;0;9;9;1;1;-;2022-10-04;07:54:34;08:52:04;08:52:48;0;0;;;0;;;kiosk;;;;;0;PENGOBATAN_UMUM;
95;1;1;;1;;57;0;1;1;1;1;-;2022-10-04;07:55:11;08:00:29;08:02:07;1;0;;;0;;;kiosk;;;;;0;LOKET-PC;
96;10;10;83;2;;48;0;10;10;1;1;-;2022-10-04;07:55:14;08:09:19;08:19:41;0;0;;;0;;;kiosk;;;;;0;DESKTOP-82VFEFF;
97;8;8;87;8;;49;0;8;8;1;1;-;2022-10-04;07:56:00;08:37:13;08:40:55;0;0;;;0;;;kiosk;;;;;0;DELL2;
98;1;1;;1;;58;0;3;2001;1;1;-;2022-10-04;07:56:01;08:01:04;08:01:55;1;0;;;0;;;kiosk;;;;;0;LOKET;
